"vd";"id";"u"
0.1255;0.00702466;0
0.126;0.00711909;0
0.1265;0.00721473;0
0.127;0.00731159;0
0.1275;0.00740969;0
0.128;0.00750906;0
0.1285;0.00760969;0
0.129;0.00771161;0
0.1295;0.00781484;0
0.13;0.00791939;0
0.1305;0.00802527;0
0.131;0.00813251;0
0.1315;0.00824113;0
0.132;0.00835113;0
0.1325;0.00846253;0
0.133;0.00857537;0
0.1335;0.00868964;0
0.134;0.00880537;0
0.1345;0.00892259;0
0.135;0.0090413;0
0.1355;0.00916152;0
0.136;0.00928328;0
0.1365;0.00940659;0
0.137;0.00953148;0
0.1375;0.00965796;0
0.138;0.00978605;0
0.1385;0.00991577;0
0.139;0.0100472;0
0.1395;0.0101802;0
0.14;0.010315;0
0.1405;0.0104514;0
0.141;0.0105896;0
0.1415;0.0107296;0
0.142;0.0108713;0
0.1425;0.0110149;0
0.143;0.0111602;0
0.1435;0.0113074;0
0.144;0.0114565;0
0.1445;0.0116075;0
0.145;0.0117604;0
0.1455;0.0119153;0
0.146;0.0120721;0
0.1465;0.0122309;0
0.147;0.0123917;0
0.1475;0.0125545;0
0.148;0.0127194;0
0.1485;0.0128864;0
0.149;0.0130556;0
0.1495;0.0132268;0
0.15;0.0134003;0
0.1505;0.0135759;0
0.151;0.0137537;0
0.1515;0.0139338;0
0.152;0.0141162;0
0.1525;0.0143009;0
0.153;0.0144879;0
0.1535;0.0146773;0
0.154;0.014869;0
0.1545;0.0150632;0
0.155;0.0152598;0
0.1555;0.015459;0
0.156;0.0156606;0
0.1565;0.0158647;0
0.157;0.0160715;0
0.1575;0.0162808;0
0.158;0.0164928;0
0.1585;0.0167074;0
0.159;0.0169247;0
0.1595;0.0171448;0
0.16;0.0173676;0
0.1605;0.0175933;0
0.161;0.0178217;0
0.1615;0.018053;0
0.162;0.0182873;0
0.1625;0.0185244;0
0.163;0.0187646;0
0.1635;0.0190077;0
0.164;0.0192539;0
0.1645;0.0195031;0
0.165;0.0197555;0
0.1655;0.020011;0
0.166;0.0202698;0
0.1665;0.0205317;0
0.167;0.0207969;0
0.1675;0.0210655;0
0.168;0.0213373;0
0.1685;0.0216126;0
0.169;0.0218913;0
0.1695;0.0221734;0
0.17;0.0224591;0
0.1705;0.0227483;0
0.171;0.0230411;0
0.1715;0.0233375;0
0.172;0.0236377;0
0.1725;0.0239415;0
0.173;0.0242491;0
0.1735;0.0245605;0
0.174;0.0248758;0
0.1745;0.0251949;0
0.175;0.0255181;0
0.1755;0.0258452;0
0.176;0.0261763;0
0.1765;0.0265115;0
0.177;0.0268509;0
0.1775;0.0271944;0
0.178;0.0275422;0
0.1785;0.0278942;0
0.179;0.0282506;0
0.1795;0.0286114;0
0.18;0.0289766;0
0.1805;0.0293462;0
0.181;0.0297204;0
0.1815;0.0300992;0
0.182;0.0304826;0
0.1825;0.0308707;0
0.183;0.0312636;0
0.1835;0.0316612;0
0.184;0.0320637;0
0.1845;0.0324711;0
0.185;0.0328835;0
0.1855;0.0333009;0
0.186;0.0337234;0
0.1865;0.034151;0
0.187;0.0345838;0
0.1875;0.0350219;0
0.188;0.0354652;0
0.1885;0.0359139;0
0.189;0.0363681;0
0.1895;0.0368278;0
0.19;0.037293;0
0.1905;0.0377638;0
0.191;0.0382403;0
